relative_path	line_no	trigger	classification	matched_text	required_action
manuscript/AI_PRE_REVIEW_EXPOSURE_REPORT_2026-05-01.md	57	treatment_or_therapeutic_guidance	safe_boundary_statement	not be framed as a clinical predictor, therapeutic guide, or broad proof that	No rewrite required if this remains a negative/boundary statement.
manuscript/AI_PRE_REVIEW_EXPOSURE_REPORT_2026-05-01.md	171	full_pretrained_nichenet	safe_boundary_statement	should not be described as a full pretrained NicheNet network benchmark unless	No rewrite required if this remains a negative/boundary statement.
manuscript/AI_PRE_REVIEW_EXPOSURE_REPORT_2026-05-01.md	174	broad_superiority	safe_boundary_statement	discordance, not broad superiority.	No rewrite required if this remains a negative/boundary statement.
manuscript/AI_PRE_REVIEW_EXPOSURE_REPORT_2026-05-01.md	394	guaranteed_acceptance_or_publication	safe_boundary_statement	1. Guaranteed publication in a 20-50 IF journal.	No rewrite required if this remains a negative/boundary statement.
manuscript/AI_PRE_REVIEW_EXPOSURE_REPORT_2026-05-01.md	395	clinical_utility;treatment_or_therapeutic_guidance	safe_boundary_statement	2. Clinical utility, diagnosis, prognosis, or therapy guidance.	No rewrite required if this remains a negative/boundary statement.
manuscript/AI_PRE_REVIEW_EXPOSURE_REPORT_2026-05-01.md	396	broad_superiority	safe_boundary_statement	3. Broad superiority over all CCC tools.	No rewrite required if this remains a negative/boundary statement.
manuscript/AI_PRE_REVIEW_EXPOSURE_REPORT_2026-05-01.md	397	full_pretrained_nichenet	safe_boundary_statement	4. Full pretrained NicheNet benchmarking.	No rewrite required if this remains a negative/boundary statement.
manuscript/AI_PRE_REVIEW_EXPOSURE_REPORT_2026-05-01.md	430	clinical_utility;treatment_or_therapeutic_guidance	safe_boundary_statement	"2. Do not use ""driver"", ""causal"", ""therapeutic target"", or ""clinical utility""."	No rewrite required if this remains a negative/boundary statement.
manuscript/AI_PRE_REVIEW_EXPOSURE_REPORT_2026-05-01.md	528	broad_superiority	safe_boundary_statement	5. public-data-only evidence supports a methods paper better than a definitive	No rewrite required if this remains a negative/boundary statement.
manuscript/AI_PRE_REVIEW_EXPOSURE_REPORT_2026-05-01.md	535	guaranteed_acceptance_or_publication	safe_boundary_statement	> 20-50 IF methods submission, not a guaranteed top-journal acceptance claim.	No rewrite required if this remains a negative/boundary statement.
manuscript/FINAL_SUBMISSION_BLOCKERS.tsv	19	guaranteed_acceptance_or_publication	safe_boundary_statement	"forbidden_positive_claims::manuscript_draft	pass	pass	No forbidden positive claim patterns detected.	Remove or rewrite any positive clinical, guaranteed-publication, or broad-superiority claims."	No rewrite required if this remains a negative/boundary statement.
manuscript/IF20_50_DISTANCE_REPORT.md	46	treatment_or_therapeutic_guidance	safe_boundary_statement	- S1. Keep the completed pre-specified 10,000-permutation GSE154778 confirmatory subset as statistical-strengthening evidence, without promoting computational signals into biological mechanisms. Expected effect: Improves statistical defensibility; still does not create causal, clinical, therapeutic, or mechanism evidence.	No rewrite required if this remains a negative/boundary statement.
manuscript/IF20_50_DISTANCE_REPORT.md	113	guaranteed_acceptance_or_publication	safe_boundary_statement	This report does not guarantee acceptance in any journal. It defines the shortest defensible route to a 20-50 IF submission package and the extra work most likely to reduce reviewer risk.	No rewrite required if this remains a negative/boundary statement.
manuscript/IF20_50_GAP_MATRIX.tsv	8	broad_superiority	safe_boundary_statement	"comparator_benchmarking	G07	Comparator scope	green	1.0	low	no	manuscript/comparator_scope/COMPARATOR_SCOPE_REPORT.md	Keep broad-superiority language forbidden and do not claim comparator completeness outside the primary scRNA scope	NA"	No rewrite required if this remains a negative/boundary statement.
manuscript/IF20_50_SUPPLEMENTATION_PLAN.tsv	6	treatment_or_therapeutic_guidance	safe_boundary_statement	"S1	Keep the completed pre-specified 10,000-permutation GSE154778 confirmatory subset as statistical-strengthening evidence, without promoting computational signals into biological mechanisms.	high_impact_strengthening	The higher-resolution confirmatory subset has been executed, reducing reviewer concern that the key p-values and FDR values are only 1000-permutation resolution.	Improves statistical defensibility; still does not create causal, clinical, therapeutic, or mechanism evidence.	done	no"	No rewrite required if this remains a negative/boundary statement.
manuscript/JOURNAL_TARGETS_20_50.tsv	2	clinical_utility;broad_superiority;full_pretrained_nichenet	safe_boundary_statement	"1	Nature Methods	Springer Nature	32.1	51.7	2024 Journal Impact Factor	primary_methods_target	5	best_aligned_high_risk_first_submission	Best fit for a reusable biological method with a new mathematical object, simulation validation, public benchmarks, and software release.	Zenodo DOI; frozen figures; clear methods text; no overclaiming beyond LIANA and bounded nichenetr-engine evidence.	Do not claim clinical utility, full pretrained NicheNet benchmarking, or broad superiority over all CCC tools.	False	https://www.nature.com/nmeth/journal-impact	2026-04-30"	No rewrite required if this remains a negative/boundary statement.
