review_domain	concern	current_status	evidence	current_action
Reproducibility	Public GitHub release, immutable tag and release URL are missing	open_external_blocker	release/GIT_RELEASE_READINESS_REPORT.md	Create public GitHub repository/tag only after author metadata and DOI workflow are ready
Reproducibility	Zenodo DOI is not minted	open_external_blocker	release/RELEASE_METADATA_PLACEHOLDER_REPORT.md	Mint DOI after public GitHub URL and author metadata are final
Reproducibility	Author metadata and CRediT fields are incomplete	open_author_blocker	manuscript/submission_metadata/	Authors must fill names, affiliations, ORCIDs when available, CRediT roles, competing interests and ethics/data-use text
Reproducibility	Docker build context may include generated data	fixed_round3	.dockerignore	Added .dockerignore to exclude raw data, processed matrices, release archives and generated figures
Methods	Formal sheaf implementation absent	stale_fixed_round2	src/sheafsignal/sheaf.py; benchmarks/results/confirmatory_10000/gse154778_pdac_scrna/results/cellular_sheaf_restrictions.csv	Keep method wording limited to implemented rank-one cellular sheaf
Methods	Hodge decomposition applied only to LR flow	stale_fixed_round2	src/sheafsignal/pipeline.py	Primary Hodge target remains sheaf_residual; communication-flow Hodge is secondary diagnostic only
SingleCell	GSE154778 only has 500-cell smoke annotation	stale_fixed_round2	data/processed/gse154778_pdac_scrna_scanpy_full_v1/metadata.csv	Frozen scanpy_full_v1 prepared inputs cover the full GSE154778 cell set used by the benchmark
SingleCell	GSE154778 stability/QC outputs were stale	fixed_round3	benchmarks/results/gse154778_pdac_scrna/qc/claim_gating_by_cell_type.csv	Regenerated lesion stratification, bootstrap, sample-level stability, annotation QC and claim gating using scanpy_full_v1 defaults
Statistics	Only 100 permutations used for manuscript-facing inference	stale_fixed_round3	benchmarks/results/confirmatory_10000/CONFIRMATORY_PERMUTATION_STATUS.md	GSE154778 confirmatory subset completed with 10000 sample-stratified permutations
Statistics	Edge/node findings should not be overinterpreted	downgraded_by_design	manuscript/SCI_MANUSCRIPT_V2_POLISHED.md	Keep edge/node outputs descriptive or supplement-level unless claim gates and FDR families permit stronger wording
HighImpact	README and manuscript comparator status were inconsistent	fixed_round3	README.md; docs/benchmark_plan.md	Updated primary scRNA comparator status and explicitly excluded demo/Visium/GSE103322/niche-DE from primary comparator-completeness claims
HighImpact	Nature Methods-ready language premature	still_open_by_design	manuscript/IF20_50_DISTANCE_REPORT.md	Keep current route as 20-50 IF hardening candidate, not submission-ready, until release blockers are cleared
