domain	item_id	item	current_status	readiness_fraction	if20_50_risk	submission_blocker	evidence	required_next_action	suggested_supplement
method_novelty	G01	Formal sheaf core	green	1.0	low	no	src/sheafsignal/sheaf.py; cellular_sheaf_restrictions.csv; cellular_sheaf_laplacian.csv	Keep method wording aligned to rank-one cellular sheaf, not broad unsupported sheaf learning	NA
method_novelty	G02	Primary Hodge target	green	1.0	low	no	src/sheafsignal/pipeline.py; ROUND2_HARDENING_STATUS_2026-05-02.md	Keep communication_hodge_* as secondary diagnostic	NA
single_cell_evidence	G03	GSE154778 full reannotation	green	1.0	low	no	benchmarks/results/gse154778_pdac_scrna/reannotation/scanpy_reannotation_run_summary.csv	Preserve frozen annotation version in all downstream provenance	NA
biological_claim_boundary	G04	GSE154778 Myeloid claim	yellow	0.55	moderate	no	round1_review_response_matrix.tsv; myeloid_claim_readiness_summary.csv	Maintain claim gate until independent replication or stronger model support	NA
statistics	G05	GSE154778 statistics	green	1.0	low	no	benchmarks/results/round2_hardening/public_tme_sheafsignal_summary.csv; benchmarks/results/confirmatory_10000/CONFIRMATORY_PERMUTATION_STATUS.md; benchmarks/results/confirmatory_10000/confirmatory_permutation_subset.tsv	Use confirmatory p-value language only for the pre-defined FDR families, and keep biological claims bounded by G04	NA
simulation_validation	G06	Simulation benchmark	green	1.0	low	no	benchmarks/results/simulation/sheaf_ground_truth_recovery.csv	Use expanded recovery table in methods validation and keep additional larger simulations as optional strengthening	NA
comparator_benchmarking	G07	Comparator scope	green	1.0	low	no	manuscript/comparator_scope/COMPARATOR_SCOPE_REPORT.md	Keep broad-superiority language forbidden and do not claim comparator completeness outside the primary scRNA scope	NA
spatial_evidence_boundary	G08	Visium interpretation	green	1.0	low	no	manuscript/visium_scope/VISIUM_SCOPE_REPORT.md; spatial sensitivity outputs	Keep Visium hotspot-only unless future deconvolution/histology evidence is added	NA
manuscript_claim_safety	G09	Manuscript language	green	1.0	low	no	manuscript/claim_hardening/CLAIM_HARDENING_REPORT.md; manuscript/CLAIM_SAFETY_AUDIT_REPORT.md	Keep boundary wording during future figure and submission-package regeneration	NA
environment_reproducibility	G10	Environment lock	green	1.0	low	no	envs/ENVIRONMENT_LOCK_REPORT.md; envs/requirements-py311-lock.txt; envs/environment_lock_audit.tsv	Use this lock for clean-clone reproduction; keep broad conda YAML files as convenience definitions	NA
public_code_release	G11	GitHub release	green	1.0	low	no	release/GITHUB_RELEASE_PUBLICATION_REPORT.md; release/archive_manifest.tsv	No release action needed unless tracked files change.	NA
data_archive_doi	G12	Zenodo DOI	green	1.0	low	no	release/ZENODO_API_UPLOAD_SUMMARY.md; release/RELEASE_METADATA_PLACEHOLDER_REPORT.md	No DOI action needed unless the frozen Zenodo archive changes.	NA
submission_readiness	G13	Submission readiness	green	1.0	low	no	manuscript/NATURE_METHODS_GO_NO_GO_REPORT.md; release/public_clean_clone/PUBLIC_CLEAN_CLONE_REPORT.md	Run submission-day journal metric/CAS/warning-list check immediately before upload.	NA
final_submission_blockers	external_beta_review::returned_findings	external_beta_review::returned_findings	open_returned_review_blockers	0.25	blocking	yes	67 open returned-review blocker rows; priorities=P0,P1.	Resolve or explicitly downgrade returned external-review P0/P1 findings before any 20-50 IF submission.	NA
reviewer_HighImpact	Nature Methods framing is premature	Nature Methods framing is premature	open	0.0	major	yes	GO/NO-GO remains NO_GO and novelty/statistics/reannotation blockers remain	Frame as hardening/presubmission candidate until blockers cleared	NA
external_beta_review	returned_review_open_blockers	54 open returned-review P0/P1 blocker rows	open_external_review_blockers	0.0	blocking	yes	external_ai_review_packet/external_beta_review_action_matrix.tsv; priority_counts=P0=19, P1=35; domains=code_quality, comparators, general, journal_fit, methods, reproducibility, single_cell, statistics	Resolve, downgrade by design, or formally route every returned-review P0/P1 item before any 20-50 IF submission.	external_beta_review_response_matrix
