gate_id	area	status	current_decision	evidence	next_action	submission_blocker
G01	Formal sheaf core	green	Implemented and usable for manuscript-facing method description	src/sheafsignal/sheaf.py; cellular_sheaf_restrictions.csv; cellular_sheaf_laplacian.csv	Keep method wording aligned to rank-one cellular sheaf, not broad unsupported sheaf learning	no
G02	Primary Hodge target	green	Primary decomposition now applies to sheaf_residual instead of only communication flow	src/sheafsignal/pipeline.py; ROUND2_HARDENING_STATUS_2026-05-02.md	Keep communication_hodge_* as secondary diagnostic	no
G03	GSE154778 full reannotation	green	Full Scanpy annotation frozen as scanpy_full_v1 with 14926 cells and 16 samples	benchmarks/results/gse154778_pdac_scrna/reannotation/scanpy_reannotation_run_summary.csv	Preserve frozen annotation version in all downstream provenance	no
G04	GSE154778 Myeloid claim	yellow	Allowed only as supplement-level computational hypothesis, not main biological source claim	round1_review_response_matrix.tsv; myeloid_claim_readiness_summary.csv	Maintain claim gate until independent replication or stronger model support	no
G05	GSE154778 statistics	green_yellow	1000 sample_id-stratified permutations completed for Round2 benchmark	benchmarks/results/round2_hardening/public_tme_sheafsignal_summary.csv; pooled_fdr_audit.csv	Reserve final confirmatory p-value language for pre-defined FDR families	no
G06	Simulation benchmark	green	Expression-to-LR-to-pathway ground-truth benchmark now compares SheafSignal against LR-flow, pathway-gradient, Hodge-only, graph-centrality, and graph-smoothness baselines; SheafSignal has the highest AP across tested noise levels	benchmarks/results/simulation/sheaf_ground_truth_recovery.csv	Use expanded recovery table in methods validation and keep additional larger simulations as optional strengthening	no
G07	Comparator scope	green	Primary scRNA comparator scope is programmatically locked and passes: LRProductBaseline, LIANA, MechanisticTargetPrior, bounded NicheNet/nichenetr-engine, CellPhoneDB and CellChat are complete for GSE72056, GSE154778 and GSE176078; demo/Visium/GSE103322/niche-DE are outside main comparator claims	manuscript/comparator_scope/COMPARATOR_SCOPE_REPORT.md	Keep broad-superiority language forbidden and do not claim comparator completeness outside the primary scRNA scope	no
G08	Visium interpretation	green	Visium is explicitly restricted to a spot-level spatial hotspot workflow demonstration; scope gate passes with zero failures and marker-dominant spot labels are not used as cell-type source claims	manuscript/visium_scope/VISIUM_SCOPE_REPORT.md; spatial sensitivity outputs	Keep Visium hotspot-only unless future deconvolution/histology evidence is added	no
G09	Manuscript language	green	Manuscript-facing high-risk real-data language has been synchronized to computational sheaf-energy rankings, curl-like graph diagnostics, and supplement-level hypotheses; claim audits show zero blocking risky claims	manuscript/claim_hardening/CLAIM_HARDENING_REPORT.md; manuscript/CLAIM_SAFETY_AUDIT_REPORT.md	Keep boundary wording during future figure and submission-package regeneration	no
G10	Environment lock	green	Pinned Python environment lock is generated and audited: ENVIRONMENT_LOCK_PASS with 216 exact requirements and zero warnings	envs/ENVIRONMENT_LOCK_REPORT.md; envs/requirements-py311-lock.txt; envs/environment_lock_audit.tsv	Use this lock for clean-clone reproduction; keep broad conda YAML files as convenience definitions	no
G11	GitHub release	yellow	Local reproducibility freeze commit exists, but no public GitHub remote, immutable tag, or release URL is configured	release/GIT_RELEASE_READINESS_REPORT.md; release/GIT_RELEASE_READINESS_AUDIT.tsv	Add public GitHub remote, create release tag, and write public URL into release/manuscript metadata before G11 can turn green	yes
G12	Zenodo DOI	red	Intentionally held; DOI must not be minted before final freeze	release/zenodo_deposition_metadata.json; release/RELEASE_METADATA_PLACEHOLDER_REPORT.md; NATURE_METHODS_GO_NO_GO_REPORT.md	Mint DOI only after release archive, public GitHub URL, author metadata, and manuscript are frozen	yes
G13	Submission readiness	red_yellow	Scientifically hardened for a 20-50 IF methods-manuscript route; local clean-export preflight passes, but submission still requires public GitHub URL/tag, DOI, author metadata, and final public clean-clone reproduction	NATURE_METHODS_GO_NO_GO_REPORT.md; manuscript/IF20_50_DISTANCE_REPORT.md; release/clean_clone_preflight/CLEAN_CLONE_PREFLIGHT_REPORT.md; ROUND2_HARDENING_STATUS_2026-05-02.md	Clear G11-G12, author metadata, and final public clean-clone reproduction before formal submission	yes
