reviewer	severity	concern	evidence	required_fix	status
Methods	FATAL	Sheaf-valued object is not formally implemented	README and manuscript claim sheaf-valued flow; core.py computes scalar flow_z - pathway_gradient_z; no implemented stalks/restriction maps/sheaf Laplacian	Either implement formal sheaf primitives or downgrade method wording to graph-consistency/Hodge workflow	fixed_round2_formal_rank_one_sheaf_api
Methods	FATAL	Hodge decomposition is applied to LR flow, not clearly to frustration flow	pipeline.py calls hodge_decomposition(edges, flow_col="flow_z")	Decompose mismatch/frustration flow directly or state Hodge ratios describe LR flow only	fixed_round2_primary_hodge_on_sheaf_residual
Methods	MAJOR	Simulation validates Hodge algebra, not full SheafSignal	generate_simulation_benchmark.py feeds synthetic flow_z directly into Hodge decomposition	Add generative expression-to-LR-to-pathway simulation with known consistent/inconsistent ground truth	fixed_round2_synthetic_profile_lr_pathway_ground_truth_benchmark
Methods	MAJOR	Added value beyond CCC/GSP is non-equivalence, not utility	tool_comparison.csv shows discordance but no ground-truth task where SheafSignal beats LR/centrality/Hodge-only baselines	Add ablations and recovery metrics including AUPRC/AUROC/rank stability	fixed_round2_lr_pathway_hodge_centrality_smoothness_recovery_metrics
SingleCell	FATAL	GSE154778 full independent reannotation is incomplete	scanpy_reannotation_run_summary.csv shows 500 cells only; scanpy_cell_annotations.csv all P03 Primary	Run full 14,926-cell Scanpy/Seurat reannotation and sensitivity analysis	fixed_round2_scanpy_full_v1_14926_cells_16_samples
SingleCell	FATAL	GSE154778 outputs appear annotation-inconsistent	metadata.csv and lesion_frustration_by_cell_type.csv disagree on Myeloid and Unknown counts	Regenerate all GSE154778 outputs from one frozen annotation and add input hashes	fixed_round2_frozen_prepared_inputs_and_provenance
SingleCell	MAJOR	Myeloid claim is not robust enough for main text	hodge_decomposition_scores.csv Myeloid FDR about 0.208; sample-level top frequency heterogeneous	Downgrade Myeloid to hypothesis-generating unless full reannotation and sample-level tests support it	downgraded_by_design_myeloid_supplement_only
SingleCell	MAJOR	Visium cannot support cell-type source claims	marker_spot_counts.csv shows extreme imbalance and spot-level marker programs only	Add histology/deconvolution or restrict Visium to hotspot demo	downgraded_by_design_hotspot_only_visium_scope_gate_pass
Statistics	FATAL	Permutation design violates multi-sample exchangeability	run_tme_benchmark.py does not use permutation_strata_col; outputs have blank strata	Use sample/lesion-stratified permutation for multi-sample datasets	fixed_round2_sample_id_stratified_permutation
Statistics	FATAL	Permutation count is too low	manuscript-facing permutation outputs use n_permutations=100	Use at least 1000 permutations for final runs; ideally 10000 for key tests	fixed_round2_gse154778_1000_permutations
Statistics	FATAL	No edge-level discoveries survive FDR	reviewer found zero edge FDR < 0.05 across manuscript datasets	Keep edge interpretation descriptive unless corrected FDR passes	downgraded_by_design_edge_claims_descriptive_until_fdr
Statistics	MAJOR	Global multiple-testing family is undefined	FDR appears per table/dataset; pooled BH weakens signals	Define exploratory vs confirmatory FDR families before reanalysis	fixed_round2_pooled_fdr_audit_script_added
Reproducibility	FATAL	No public GitHub release / no commits	git log reports no commits; reviewer could not clone actual repo state	Create committed public repository/tag/release after scientific freeze	partially_fixed_local_commit_public_remote_pending
Reproducibility	FATAL	Zenodo DOI not minted	NATURE_METHODS_GO_NO_GO_REPORT.md says NO_GO; ZENODO_API_UPLOAD_SUMMARY.md dry_run DOI NA	Mint DOI only after scientific hardening and metadata finalization	open
Reproducibility	FATAL	Metadata has TBD/PENDING fields	CITATION.cff, .zenodo.json, pyproject.toml, datasets.tsv contain TBD/PENDING_ZENODO_RELEASE	Replace all TBD fields before release	audited_external_identifiers_and_author_metadata_pending
Reproducibility	MAJOR	Environment is not locked	env yml and pyproject use broad >= constraints; Dockerfile uses unpinned python image; no renv.lock	Add conda-lock/requirements lock, Docker digest or pinned base, and R renv.lock	fixed_round2_python_environment_lock_pass
HighImpact	FATAL	Manuscript package is internally inconsistent	SUPERGROK status downgrades Myeloid but claim evidence map still allows main-text Myeloid wording	Synchronize all manuscript-facing documents and claim maps	fixed_round2_claim_map_myeloid_supplement_only
HighImpact	MAJOR	Real-data architecture language is over-strong	public_tme_sheafsignal_summary.csv shows gradient-dominated real data with small curl/harmonic	Rewrite real-data language as computational decomposition/rankings	fixed_round2_claim_language_synchronized_zero_blocking_claims
HighImpact	MAJOR	Comparator completeness is uneven	CellChat/CellPhoneDB done for three scRNA datasets but pending rows remain for demo/Visium/GSE103322/niche-DE	Clarify comparator scope or complete remaining comparators where claimed	downgraded_by_design_primary_scrna_comparator_scope_gate_pass
HighImpact	MAJOR	Nature Methods framing is premature	GO/NO-GO remains NO_GO and novelty/statistics/reannotation blockers remain	Frame as hardening/presubmission candidate until blockers cleared	open
