risk_id	reviewer_risk	mitigation_evidence	residual_boundary	status
RR1_algorithm_rebranding	Reviewer may argue that SheafSignal is only a ligand-receptor intensity score.	all required SheafSignal primitives found	Do not claim broad superiority; claim a distinct sheaf/Hodge object and measured consistency signals.	mitigated
RR2_simulation_ground_truth	Reviewer may ask whether gradient, curl, and harmonic components are identifiable.	component_recovery.csv covers gradient/curl/harmonic/mixed	Simulation supports component recovery, not biological truth.	mitigated
RR3_public_data_reproducibility	Reviewer may ask whether all public data and processed objects are traceable.	public_benchmark_rows=5	Zenodo DOI remains an external submission step until minted.	external_pending
RR4_comparator_scope	Reviewer may request external CCC comparator evidence beyond internal LR baseline.	LIANA=3;LRProductBaseline=5;MechanisticTargetPrior=3;NicheNet=3	CellChat, CellPhoneDB, and niche-DE are not claimed as completed unless their outputs are imported.	mitigated
RR5_sparse_cell_types	Reviewer may object that sparse cell types are overinterpreted.	main_claim_cell_types=	GSE154778 main text should not promote Myeloid, CAF/Fibroblast, or any other cell type as a validated source mechanism until annotation and expression-mode permutation/FDR gates agree.	mitigated
RR6_spatial_neighbor_choice	Reviewer may ask whether Visium hotspot ranking depends on arbitrary k.	min_spearman=0.9309;min_top50_overlap=0.8600	Spatial claims are hotspot-localization claims, not single-cell annotation proof.	mitigated
RR7_overclaiming	Reviewer may reject unsupported clinical utility, therapeutic, or broad-superiority claims.	CLAIM_SAFETY_AUDIT_REPORT.md	Keep the article framed as a reproducible methods manuscript.	mitigated
RR8_figure_traceability	Reviewer or editor may ask whether each figure maps to source data and safe claims.	MAIN_FIGURE_QUALITY_AUDIT.tsv	Automated audit does not replace final manual journal production review.	mitigated
RR9_supplementary_artifact_completeness	Reviewer or editor may ask whether supplementary figures, tables, and support files are complete and readable.	supplementary_artifacts=84	Artifact readability does not replace manual caption or journal production review.	mitigated
RR10_result_table_integrity	Reviewer may question whether benchmark result tables, metric ranges, and comparator file links are internally consistent.	benchmark_contract_checks=9	Contract checks support table integrity, not broader biological or clinical validity.	mitigated
RR11_artifact_provenance	Reviewer, editor, or coauthor may ask which script or source generated each submission artifact.	provenance_rows=28	Provenance audit does not complete external DOI, GitHub publication, or author metadata.	mitigated
