priority	domain	severity	finding	suggested_action	owner	status	blocks_20_50_if	source_file	resolution_note
P3	methods	comment	# Reviewer 1 — Methods and Novelty	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	reproducibility	comment	external_references_consulted:** None beyond the supplied bundle. Public GitHub (`github.com/healthgreat/SheafSignal`) and the Zenodo DOI (`10.5281/zenodo.20012189`) listed in the routing document **were not fetched** — review is based only on the bundled markdown/TSV evidence.	Check release blockers, GitHub/Zenodo identifiers, and public clean-clone evidence.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P0	journal_fit	fatal	Review mode:** Aggressive — explicitly simulating Nature Methods first-round desk-reject / referee-stage rejection threshold, as requested.	Update IF20-50 distance report and journal routing table with the reviewer-specific risk.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P0	journal_fit	fatal	Reject (not ready for Nature Methods or Nature Biotechnology in current form). Strong major revision required for any 20–30 IF route.	Update IF20-50 distance report and journal routing table with the reviewer-specific risk.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	methods	comment	"The package shows real engineering effort, honest claim gating, and round-on-round hardening. But the two pillars that a high-impact methods journal will scrutinize first — **mathematical novelty of the sheaf framing** and **algorithmic added value over GSP/Hodge baselines on a non-self-fulfilling task** — remain mathematically thin. The Round 2 ""formal sheaf"" fix is a *labelling* fix, not a *structural* one. A Nature Methods Associate Editor reading this package would, in my judgement, return it without sending out for review, citing insufficient methodological novelty and circular validation."	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P0	general	fatal	## 2. Top 5 fatal or near-fatal methods concerns	Add to response matrix and assign an owner before submission.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	methods	comment	"### F1. The ""rank-one cellular sheaf"" is mathematically degenerate and equivalent to a standard weighted directed graph with node potentials. **[direct + inferred]"	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	methods	comment	`ROUND2_HARDENING_STATUS_2026-05-02.md` defines the rank-one cellular sheaf as:	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P3	methods	comment	"This is precisely the **standard graph coboundary operator δ⁰** acting on a scalar function over vertices, which is the central object of graph signal processing (Sandryhaila & Moura 2013), graph Hodge theory (Jiang et al. 2011 — already cited), and discrete exterior calculus on graphs (Lim 2020 — already cited). With ±1 restriction maps and ℝ stalks, the cellular-sheaf machinery collapses: the sheaf Laplacian equals the ordinary graph Laplacian, the coboundary is the ordinary gradient, and the ""sheaf-valued flow"" is a scalar edge function. There is **no nontrivial restriction-map structure left to exploit**. The ""rank-one cellular sheaf"" claim is technically correct but mathematically vacuous — it is the trivial sheaf on a graph."	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	no	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
P0	methods	fatal	"The bundle's own `SHEAFSIGNAL_NOVELTY_OVERLAP_REPORT.md` already acknowledges this risk: *""Do not claim first-ever use of sheaves in biology""; ""presents an integrated sheaf/Hodge workflow for CCC graphs""*. But the manuscript abstract (`SCI_MANUSCRIPT_V2_POLISHED.md` lines 17–19) still leads with *""models cell-cell communication as a sheaf-valued flow over a biological graph""*. A reviewer with a graph-signal-processing or applied-topology background will recognize within a paragraph that the sheaf framing adds no expressive power over a directed weighted graph. **This is the single most likely first-round desk-reject driver at Nature Methods."	Map concern to formal sheaf API, Hodge target, novelty table, and simulation baselines.	codex_or_authors	open_external_review_item	yes	E:/4实验数据/10新算法/SheafSignal/external_ai_review_packet/returned_reviews/reviewer1_methods_novelty.md	NA
