field_id	priority	owner	expected_input	current_value	user_value	secret_path	validation_rule	notes
github_token_file	P0	user	Save GitHub classic token with repo and workflow scopes to secret_path; do not paste token here.	valid_missing_workflow_scope		D:\secrets\github_token.txt	file_exists_nonempty	The token must include repo and workflow scopes; scope validation is done by check_external_release_authorization.py.
github_token_rotation_confirmed	P0	user	yes only after replacing any GitHub token that was pasted into chat or another non-secret channel.	token_pasted_in_chat_requires_rotation	yes		yes	User confirmed on 2026-05-04 that the GitHub token was regenerated after chat exposure.
zenodo_doi	P0	user_or_codex_after_zenodo	Real DOI, for example 10.5281/zenodo.1234567, if minted manually.	PENDING_ZENODO_RELEASE			doi_or_zenodo_token	Either fill this DOI or save a Zenodo token to D:/secrets/zenodo_token.txt.
han_yan_email	P0	authors	Final email for corresponding author Han Yan.	missing_email	carrick8862@163.com		email	Required before journal submission metadata can be finalized.
extra_contacts_decision	P0	authors	Use not_authors, or expand_author_line with final order/affiliation/CRediT in notes.	16 supplied contacts not in current author line	not_authors		one_of:not_authors|expand_author_line	Latest user-provided author line includes only Chongfa Chen, Han Yan, and Yi Miao.
equal_contribution_wording	P0	authors	Exact wording, for example Han Yan and Yi Miao contributed equally.	ambiguous YM/YH vs HY/YM	No equal-contribution statement		nonempty	Latest user-provided author block does not include an equal-contribution note.
author_order_approved	P0	authors	yes if final author order and degrees are approved.	pending	yes		yes	Latest author line: Chongfa Chen, MD; Han Yan, MD, PhD; Yi Miao, MD, PhD; all A1.
credit_roles_approved	P0	authors	yes if CRediT assignments are approved.	pending	yes		yes	User approved CRediT roles on 2026-05-04.
funding_statement_approved	P0	authors	yes if no funding statement is correct, or put grant details in user_value/notes.	Not reported	Han Yan National Natural Science Foundation of China Youth Fund; grant number not provided		nonempty	User reported Han Yan Youth Fund on 2026-05-04; exact NSFC grant number is not provided and should be added before journal submission if available.
competing_interests_approved	P0	corresponding_authors	yes if 'no competing interests' is correct, or put disclosure.	pending	yes		nonempty	User approved no competing interests statement on 2026-05-04.
ethics_data_use_approved	P0	corresponding_authors	yes if public-data ethics/data-use wording is approved, or put institutional wording.	pending	yes		nonempty	User approved public-data ethics/data-use wording on 2026-05-04.
github_public_release_approved	P0	authors	yes if public GitHub release is approved.	pending	yes		yes	User approved public GitHub release on 2026-05-04; token safety still requires confirming replacement of the token pasted in chat before push.
zenodo_deposition_approved	P0	authors	yes if Zenodo deposition contents/restrictions are approved.	pending	yes		yes	User approved Zenodo deposition on 2026-05-04.
external_beta_review_return_path	P1	user_or_reviewers	Optional path to returned external review comments or folder.	not_returned			optional_path_exists	Useful for high-impact hardening, but not required for local infrastructure checks.
