review_area	priority	question	evidence	expected_reviewer_output
Methods	fatal_if_failed	Does the implemented rank-one cellular sheaf object justify the manuscript's sheaf-valued method framing?	src/sheafsignal/sheaf.py; manuscript/novelty_overlap/SHEAFSIGNAL_NOVELTY_OVERLAP_REPORT.md	State whether the mathematical object is sufficiently distinct or should be downgraded.
Methods	fatal_if_failed	Is Hodge decomposition correctly applied to sheaf_residual for the primary frustration result?	manuscript/SHEAFSIGNAL_STATUS_GATES_2026-05-02.tsv; benchmarks/results/BENCHMARK_RESULT_CONTRACT_REPORT.md	Identify any mismatch between algorithm implementation and manuscript claims.
Simulation	major	Does the simulation benchmark prove added information beyond LR score, pathway gradient, Hodge-only, centrality, and graph-smoothness baselines?	benchmarks/results/simulation/sheaf_ground_truth_recovery.csv	List missing baselines or power/sensitivity analyses needed for 20-50 IF.
SingleCell	fatal_if_failed	Is GSE154778 annotation validation sufficient after scanpy_full_v1, and is the Myeloid claim correctly downgraded?	benchmarks/results/gse154778_pdac_scrna/reannotation/GSE154778_REANNOTATION_READINESS_REPORT.md; manuscript/CLAIM_SAFETY_AUDIT_REPORT.md	Decide whether Myeloid can remain supplement-only or must be removed.
Statistics	fatal_if_failed	Are sample-stratified permutations, pooled FDR, and bootstrap/stability outputs enough for descriptive computational claims?	manuscript/SHEAFSIGNAL_STATUS_GATES_2026-05-02.tsv; benchmarks/results/BENCHMARK_RESULT_CONTRACT_REPORT.md	Specify whether a 10,000-permutation subset is mandatory before submission.
Comparators	fatal_if_failed	Is the completed primary scRNA comparator scope enough, and are unsupported broad-superiority claims absent?	manuscript/comparator_scope/COMPARATOR_SCOPE_REPORT.md; manuscript/CLAIM_SAFETY_AUDIT_REPORT.md	List any comparator tool still required for the stated claims.
Spatial	major	Is the Visium section safely limited to hotspot demonstration without cell-type source claims?	manuscript/visium_scope/VISIUM_SCOPE_REPORT.md	Flag any sentence that implies histology/deconvolution-backed cell types.
Reproducibility	fatal_if_failed	Would a reviewer be able to reproduce the core demo from a clean public clone after GitHub/Zenodo are inserted?	envs/ENVIRONMENT_LOCK_REPORT.md; release/clean_clone_preflight/CLEAN_CLONE_PREFLIGHT_REPORT.md; release/GIT_RELEASE_READINESS_REPORT.md	Identify remaining clean-clone risks.
Submission	fatal_if_failed	Are GitHub URL, Zenodo DOI, author metadata, and submission-day checks correctly treated as blockers?	manuscript/FINAL_SUBMISSION_BLOCKERS.tsv; release/RELEASE_METADATA_PLACEHOLDER_REPORT.md	Confirm no final release should occur before these are real.
JournalFit	major	Given the current evidence, is Nature Methods still the best first route, or should the package be aimed at another 20-50 IF journal?	manuscript/IF20_50_DISTANCE_REPORT.md; manuscript/journal_metric_audit/JOURNAL_METRIC_AUDIT_REPORT.md	Rank Nature Methods, Nature Biotechnology, Molecular Cancer, Nature Cancer, and fallback options.
