category	label	path	why	required	exists	size_bytes	sha256
orientation	Current dashboard	manuscript/SHEAFSIGNAL_STATUS_DASHBOARD_2026-05-02.md	One-page status, allowed claims, blockers, and current Gantt.	yes	yes	10170	4a2092326b6e7a38da80c90dcac5e7844231e658e5fa57e0453ff582df8a8aa9
journal_route	IF 20-50 distance report	manuscript/IF20_50_DISTANCE_REPORT.md	Current readiness indices, hard blockers, and optional strengthening.	yes	yes	11656	ce2f95676a937a0e52d09bd647f2d1c5b192085cd1c198eff8f03582f1d6e091
journal_route	Journal metric audit	manuscript/journal_metric_audit/JOURNAL_METRIC_AUDIT_REPORT.md	Publisher JIF evidence and CAS/warning-list boundary.	yes	yes	2279	58c906aee2d8bc02f4c9ac7c47839a80bc77a99f5115e30b8118549f8e5143af
review_history	Round 1 response matrix	external_ai_review_packet/round1_review_response_matrix.tsv	Fatal/major reviewer concerns and current fix/downgrade status, updated for Round 3.	yes	yes	5527	0795b31a5aa1c5aa049e96e634599bad89658f9301333b299332bf0961d60d06
review_history	Round 2 hardening status	external_ai_review_packet/ROUND2_HARDENING_STATUS_2026-05-02.md	Compact summary of the formal sheaf, reannotation, statistics, and claim hardening.	yes	yes	3982	8c69d85eb68c6a99292f28ed66a88349f1f5a982c65c447dc99488712a401442
gates	Status gates	manuscript/SHEAFSIGNAL_STATUS_GATES_2026-05-02.tsv	Machine-readable green/yellow/red gate table.	yes	yes	4941	896676d7e5064910cdf4982f86e095d7ea4ae92ce9aacc5413d89fe3585b1b9a
gates	Final submission blockers	manuscript/FINAL_SUBMISSION_BLOCKERS.tsv	Remaining submission blockers and owner boundaries.	yes	yes	24110	f23c076863af0026ea60d97bca8db0958a20cb86bdcbe88ea0b0728188d9e3d2
methods	Method reporting audit	manuscript/method_reporting/METHOD_REPORTING_REPORT.md	Algorithm, data, comparator, reference, and release reporting readiness.	yes	yes	2154	9afd55343c890795878c3740a851c824d46cdada98fdb8e88afd2954ace82063
methods	Novelty overlap report	manuscript/novelty_overlap/SHEAFSIGNAL_NOVELTY_OVERLAP_REPORT.md	Formal overlap boundary against CCC, GSP, Hodge, and sheaf-literature categories.	yes	yes	1602	a3992ba4c52f7b0e40701639f4c3106047394c6667e14fc9b555e4b9ccb1f3b3
statistics	Benchmark result contract report	benchmarks/results/BENCHMARK_RESULT_CONTRACT_REPORT.md	Checks simulation, public benchmark summaries, comparator links, and claim gates.	yes	yes	397	cae8f8697a910172b2a1ed9fab131b375be54fb0b8b0106fe07e02528140aa1e
statistics	Simulation recovery table	benchmarks/results/simulation/sheaf_ground_truth_recovery.csv	Ground-truth recovery comparison including HigherRankLRChannelSheaf_energy and fair product baseline.	yes	yes	7732	5b77e10b5ba94fa84bb78a5d3ebc56cac51387b806de8587421f88f875e613b9
statistics	Independent perturbation simulation table	benchmarks/results/simulation/independent_perturbation_recovery.csv	Non-circular synthetic perturbation recovery including HigherRankLRChannelSheaf_energy and product-baseline boundary.	yes	yes	7563	ae0f40d92ac1d019de8fccf93e29029521c6e0f618dbce4b24ec62775c8d6e70
single_cell	GSE154778 reannotation readiness	benchmarks/results/gse154778_pdac_scrna/reannotation/GSE154778_REANNOTATION_READINESS_REPORT.md	Full Scanpy annotation readiness and coverage boundaries.	yes	yes	287	e0a9767a70b99a67261b6056f5c64eba4a5047004c17c8b1f240738c8bdbaa42
single_cell	Comparator scope report	manuscript/comparator_scope/COMPARATOR_SCOPE_REPORT.md	Defines exactly which comparator claims are allowed.	yes	yes	584	154d5ef778c20a0dcfee03351cdf878a73a1743df95e96daf80faade7c23117c
spatial	Visium scope report	manuscript/visium_scope/VISIUM_SCOPE_REPORT.md	Prevents spot-level spatial output from being overinterpreted as cell-type source biology.	yes	yes	505	2fd76d729d2ac56582b0bdf7fde8dfb0ba5c08fa028ead555a113e82a30a758d
claims	Claim safety audit	manuscript/CLAIM_SAFETY_AUDIT_REPORT.md	Manuscript-wide overclaim scan.	yes	yes	512	9e135e615d9e408d047bc9ac380df8168b2bf4089b12803b07f54eae4ae42a02
figures	Main figure quality audit	manuscript/figure_quality/MAIN_FIGURE_QUALITY_REPORT.md	Checks renderability and evidence-source boundaries for main figures.	yes	yes	1056	667b1020ea8e0e767228d3ba83aafac48996cc53e0635317d9427f4a6c3bcd08
reproducibility	Environment lock report	envs/ENVIRONMENT_LOCK_REPORT.md	Pinned Python environment readiness.	yes	yes	696	95c8d51a289e4b589c42a3df35fe4ac1bddb89867ef984c6a3c817a20bcf3214
reproducibility	Local clean-export preflight	release/clean_clone_preflight/CLEAN_CLONE_PREFLIGHT_REPORT.md	Local clean-export reproduction evidence before public clone.	yes	yes	935	8937990a670a10a258f96622f488432e972406eb87c1ded952bc8e812d28c785
