artifact_id	path	source_results_dir	exists	source_dir_exists	suffix	size_bytes	read_status	n_rows_or_pages	n_columns	text_chars	nonwhite_fraction	supplementary_boundary_found	supplementary_boundary_present	status	notes
supp_claim_safety_audit	manuscript/CLAIM_SAFETY_AUDIT.tsv	manuscript	True	True	.tsv	65882	parsed	228	6	NA	NA	True	True	pass	supplementary table parsed
supp_claim_safety_audit_report	manuscript/CLAIM_SAFETY_AUDIT_REPORT.md	manuscript	True	True	.md	512	read	NA	NA	496	NA	True	True	pass	supplementary text read
supp_comparator_readiness_matrix	benchmarks/results/comparator_readiness_matrix.csv	benchmarks/results	True	True	.csv	1304	parsed	6	9	NA	NA	True	True	pass	supplementary table parsed
supp_comparator_scope_audit	manuscript/comparator_scope/COMPARATOR_SCOPE_AUDIT.tsv	manuscript/comparator_scope	True	True	.tsv	3165	parsed	20	8	NA	NA	True	True	pass	supplementary table parsed
supp_comparator_scope_report	manuscript/comparator_scope/COMPARATOR_SCOPE_REPORT.md	manuscript/comparator_scope	True	True	.md	584	read	NA	NA	564	NA	True	True	pass	supplementary text read
supp_editor_novelty_evidence_matrix	manuscript/presubmission_inquiry/03_novelty_evidence_matrix.tsv	manuscript/presubmission_inquiry	True	True	.tsv	1293	parsed	5	5	NA	NA	True	True	pass	supplementary table parsed
supp_editorial_triage_risk_audit	manuscript/presubmission_inquiry/02_editorial_triage_risk_audit.tsv	manuscript/presubmission_inquiry	True	True	.tsv	1284	parsed	6	5	NA	NA	True	True	pass	supplementary table parsed
supp_environment_lock_audit	envs/environment_lock_audit.tsv	envs	True	True	.tsv	7579	parsed	216	4	NA	NA	True	True	pass	supplementary table parsed
supp_environment_lock_report	envs/ENVIRONMENT_LOCK_REPORT.md	envs	True	True	.md	696	read	NA	NA	672	NA	True	True	pass	supplementary text read
supp_environment_lock_summary	envs/environment_lock_summary.tsv	envs	True	True	.tsv	251	parsed	1	8	NA	NA	True	True	pass	supplementary table parsed
supp_external_comparator_environment_status	benchmarks/results/external_comparator_environment_status.csv	benchmarks/results	True	True	.csv	682	parsed	9	5	NA	NA	True	True	pass	supplementary table parsed
supp_external_comparator_execution_plan	benchmarks/results/external_comparator_execution_plan.csv	benchmarks/results	True	True	.csv	2044	parsed	6	11	NA	NA	True	True	pass	supplementary table parsed
supp_external_comparator_gate_summary	manuscript/external_comparator_gate_summary.tsv	manuscript	True	True	.tsv	622	parsed	1	11	NA	NA	True	True	pass	supplementary table parsed
supp_figure_claim_boundary_checklist	manuscript/figure_legends/04_figure_claim_boundary_checklist.tsv	manuscript/figure_legends	True	True	.tsv	2478	parsed	8	6	NA	NA	True	True	pass	supplementary table parsed
supp_figure_legend_inventory	manuscript/figure_legends/00_figure_legend_inventory.tsv	manuscript/figure_legends	True	True	.tsv	4135	parsed	8	6	NA	NA	True	True	pass	supplementary table parsed
supp_figure_source_map	manuscript/figure_legends/03_figure_source_map.tsv	manuscript/figure_legends	True	True	.tsv	1830	parsed	6	6	NA	NA	True	True	pass	supplementary table parsed
supp_final_submission_blockers	manuscript/FINAL_SUBMISSION_BLOCKERS.tsv	manuscript	True	True	.tsv	23850	parsed	125	5	NA	NA	True	True	pass	supplementary table parsed
supp_github_release_instructions	release/GITHUB_RELEASE_INSTRUCTIONS.md	release	True	True	.md	979	read	NA	NA	949	NA	True	True	pass	supplementary text read
